movie,contents,score
시네마 천국,아....왜 이 명작을 이제서야 챙겨봤는지 후회가...,10
시네마 천국,나한테있어서는 트루먼쇼와 함께 최고의영화,10
시네마 천국,"사족이 있긴하지만, 그래도 10점받을 걸작이지..",10
시네마 천국,불후의명작 영화를 좋아하는사람이면 한번쯤은 봐줘도 좋은 영화,10
시네마 천국,인생 교과서 (남자편) - 내 인생 최고의 영화,10
시네마 천국,감독판을 봐야되려나. 중간 중간 가위질의 흔적이...,9
시네마 천국,세월이 흘러도 잊혀지지 않는 생생한 OST의 전율,7
시네마 천국,이탈리안 마스터피스~*,10
시네마 천국,명작은 시간이 흘러도 옛추억의 감동을 다시 전해 주는 것이다..,10
시네마 천국,내가 감히 평가할 수 없는 영화다.,10
시네마 천국,진짜 명작...ㅠㅠ!,10
시네마 천국,굿. . 너무 구성이 좋은 감동과 씁쓸함이. .,10
시네마 천국,굳굳굳굳국ㄷ구둑둑두,10
시네마 천국,지금껏 내 인생 사회를 위해 뭔 일 했나 반성하며 실컷 울었네요.,10
시네마 천국,아니 이 영화에 1 0점 이하를 줄수있단말인가,10
시네마 천국,오늘 간만에 생각이 나서 와이프와 같이봤습니다. 근데 중간에 와이프는 피곤해서 잠이 들었네요ㅠㅠ 이번에 보게되어 총 4번을 보게됐네요. 앞으로도 감상과 추억에 젖고 싶을때는 언제든지 다시 찾아볼 생각입니다.,10
시네마 천국,우리네 하고 정서가 달라서 그런지 큰감흥은 느끼지 못했다.,8
시네마 천국,"산업과 예술, 그 절충선의 정점",10
시네마 천국,내 인생 최고의 걸작... 더불어 감성을 자극하는 ost는 최고란 수식어가 아깝지 않은 추억의 영화,10
시네마 천국,어릴 때 몇번 대충 자다 봐서 그런지 찬찬히 다시 보니 첫사랑을 갈라논 건 할아버지셨다 ; ; ㅋㅋ 그리고 왜 대부나 이탈리아 영화에는 다 비토가 주인공인지. 하지만 난 할아버지가 젤 좋다 ~!,8
시네마 천국,중년이 된 토토가 엘레나와 만나는 장면 어디로 사라졌나?,7
시네마 천국,잊고있었던추억을생각나게하는영화할아버지와소년의우정이마음따뜻하게다가오는마지막장면까지눈물이멈치지않네요Ost와이영화는정말어울리는명곡입니다 꼭봐야할명작이네요,10
시네마 천국,아버지와 아들. 이 풀리지 않는 애증의 숙제 앞에서 토토는 웃어야 했을까 울어야 했을까.,9
시네마 천국,아 진짜  넘  감동 ㅜㅜ입니다  일반적인 사랑얘기보다  훨 낫네,10
시네마 천국,2013년 재개봉? 3D로 나오나?,10
시네마 천국,아름답고 슬픈영화..,10
시네마 천국,허니잼보러한번가보세여,9
시네마 천국,유년기의  축복... 추억의 힘을 되살리는 ...  아름답고도 슬픈 진정한 명작,10
시네마 천국,모두의마블 에브리 쿠폰  마이턴    친구쿠폰  kiqd-673773,9
시네마 천국,말이 필요없는 최고의 영화,10
시네마 천국,"내 심장을 다시 뛰게 만들어주는 영화, 누가 뭐래도 나에겐 최고의 명작",10
시네마 천국,"언제든 다시 봐도 명작.,.",10
시네마 천국,마지막에 토토와같이 눈시울이 붉어진다면,10
시네마 천국,연결이 조금 매끄럽지 못한 것이 있지만 여전히 감동적이다.,8
시네마 천국,20여년 지난 지금까지도 내 인생 최고의 영화로 주저하지 않고 말하는 영화..,10
시네마 천국,그냥 최고의 영화. 무슨 말이 필요할까.,10
시네마 천국,봐도 봐도 감동적이고 눈물나는 영화... 죽을 때까지 잊지 못할 영화... 우리 아이들에게도 꼭 보여 주고 싶은 영화...,10
시네마 천국,마지막 장면은 국내사에서 들어올때 시간때문에 잘랐는데 그게 절묘한 편집인지 아닌지는 역시 보고 판단해야 할 것 같다.,10
시네마 천국,재미있어요 짱짱맨 ㅋㅋ,10
시네마 천국,극장에서 봤는데 정말최고다!,10
시네마 천국,반드시 봐야 합니다! 세얼간이와 함께 최고의 영화,10
시네마 천국,이 영화는 설명이 필요없다. 그냥 보면 된다..그리고 느끼면 된다..오랜만에 다시 보았는데... 역시...나이 40 이 다 되어가는 .나를 또한번 첫사랑의 추억 속에서 빠지게 만든다.. 아....,10
시네마 천국,"아무리 세월이 흘렀어도 잊혀지지 않는 명작... 가슴시린 사랑, 추억 그리고 영화의 백미인 OST까지... 이영화는 모든걸 다 갖춘 영화다. 마지막 키스신 장면이 끝나면 깊은 여운이 몰려온다....Cinema Paradiso",10
시네마 천국,고등학교 시절에 봤던 감명 깊었던 영화!!! 다시봐도 내 감수성이 예민해진다!,10
시네마 천국,차분하고 감성적인 관객이라면 보고나서 결코 후회하지 않을 작품!,10
시네마 천국,최고의 감동! 이 영화를 보고나서 그날하루 여운으로 가득했다,10
시네마 천국,내 인생영화... 20년만에 극장에서 보니 감회가 새롭다. 러브테마를 이렇게 극장에서 듣다니...,10
시네마 천국,왜이제야 본걸까..ㅠ,10
시네마 천국,굿...  알프레도 아저씨 같은 분이 내 인생에도 있었더라면 어떻게 됐을까,10
시네마 천국,내 인생 최고의 영화... 20년 전에도 지금도 세월이 지 더 지나도...,10
시네마 천국,흐아 엔딩은 정말....,10
시네마 천국,수작..희대의 명작까진 아님. 공감하는 부분과 공감하지 못하는 부분이 확실히 갈림. 하지만 개인적으로 주인공에게 감정이입 부분에서는 잘되었음. 가슴이 울적해짐.,8
시네마 천국,지금도 이 영화를 보던 그 때의 감동이 큽니다.,10
시네마 천국,고전의 힘... 위대하다,10
시네마 천국,평점이란게 필요가 있을까?,10
시네마 천국,컴퓨터나 tv로는 많이 봤지만 극장에선 처음 본 영화. 영화는 역시 극장에서~,10
시네마 천국,이영화를보면떠올라야하는단어는명작과완벽이다,10
시네마 천국,가슴이 아련해진다. 이 영화의 화룡점정은 OST 인 것 같다.,10
시네마 천국,아릉다운 영화.. ㅠㅠ,10
시네마 천국,헐 가위손보다 평점이 더 높다,10
시네마 천국,인생이란 보물을 영화는 어떻게 간직했나,9
시네마 천국,거짓말같은조금은조악한영화지만그유치한거짓말이감동을주는힘을가진명작,10
시네마 천국,굳이 설명하지 않아도 가슴으로 느낄수있는 스토리와 감동. 오랜만에 돈과 시간이 전혀 아깝지 않은 영화였습니다.,10
시네마 천국,명작은 그냥 명작이 아니다.  단  EBS 에서 여러번  본 영화를 왜 극장에서?,8
시네마 천국,영화를 보는 기쁨을 알게 해준다.,10
시네마 천국,고등학교 때 중간고사 끝난 후에 극장에서 본 추억의 영화. 그후 내겐 한 번도 변하지 않은 올타임  No.1  영화.,10
시네마 천국,인생이란 무엇인지 잘 설명해준다,10
시네마 천국,사운드트랙때문에 눈물흘리고 마지막장면에 또한번ㅠㅠ,10
시네마 천국,10년후 다시 보아도 감동적인 영화..  인생에 대한 따듯한  관조의 시선. 10점이 아깝지 않다.,10
